id,sentence,shown_images,target
9MMjDJ, A teen falls face down from his skateboard on the ground.,"['9MMjDJ_twh.jpg', '9MMjDJ_tsm.jpg', '9MMjDJ_jod.jpg', '9MMjDJ_ifo.jpg']","[4, 3, 2, 1]"
a10gX3,"After that is done,she grabs a white towel,dries her hands and wipes her mouth.","['a10gX3_dnp.jpg', 'a10gX3_elo.jpg', 'a10gX3_ozq.jpg', 'a10gX3_zyp.jpg']","[1, 2, 3, 4]"
H5pmLG,"The balls are arranged neatly on a baking tray, which moves upward, then a hand pours colorful candies onto a cake and moves to scoop melted chocolate from a nearby bowl with a spoon.","['H5pmLG_grp.jpg', 'H5pmLG_hsd.jpg', 'H5pmLG_mew.jpg', 'H5pmLG_nug.jpg']","[1, 2, 3, 4]"
odhOrD,"The worker begins by mixing the cement in the bucket, then spreads it out and creates a grid pattern, followed by placing tiles and tapping them into position.","['odhOrD_fdx.jpg', 'odhOrD_kdb.jpg', 'odhOrD_uao.jpg', 'odhOrD_vqn.jpg']","[4, 2, 3, 1]"
HBj8H9, One of the girls leaves and the other girl continues dancing alone.,"['HBj8H9_ehy.jpg', 'HBj8H9_znn.jpg', 'HBj8H9_iul.jpg', 'HBj8H9_qke.jpg']","[3, 4, 2, 1]"
Whkm0k,"The athlete exits the shot put circle as another prepares to throw, then the scene transitions to a goalie in yellow moving from a green turf field to an indoor rink, maintaining a ready position.","['Whkm0k_tja.jpg', 'Whkm0k_luz.jpg', 'Whkm0k_icb.jpg', 'Whkm0k_qwt.jpg']","[4, 3, 1, 2]"
sctFyn,"A gymnast performs on the vault on front a crowd, she flips and falls from the vault.","['sctFyn_cwz.jpg', 'sctFyn_sng.jpg', 'sctFyn_ttz.jpg', 'sctFyn_zpo.jpg']","[3, 4, 2, 1]"
FPlrNd,"The woman raises the piano lid higher while cleaning to the right, then shifts to the kitchen where lemons move from the stove area to being squeezed into a bowl as the camera remains stationary.","['FPlrNd_kfh.jpg', 'FPlrNd_uvd.jpg', 'FPlrNd_whi.jpg', 'FPlrNd_xkb.jpg']","[1, 2, 3, 4]"
E8FlQ7,"The person begins to twist sections of hair, then continues to secure them into place, gradually forming a styled updo as they work from the bottom to the top.","['E8FlQ7_ama.jpg', 'E8FlQ7_gmm.jpg', 'E8FlQ7_hnk.jpg', 'E8FlQ7_vzt.jpg']","[1, 2, 3, 4]"
U2k994,A person picks a lemon from a tree.,"['U2k994_yku.jpg', 'U2k994_xer.jpg', 'U2k994_qtq.jpg', 'U2k994_ytf.jpg']","[3, 2, 1, 4]"
aTi1JG, The man flips the woman and swings her around.,"['aTi1JG_nie.jpg', 'aTi1JG_hcs.jpg', 'aTi1JG_icf.jpg', 'aTi1JG_rlp.jpg']","[2, 3, 1, 4]"
EEqI5H,A woman is walking along a track.,"['EEqI5H_vum.jpg', 'EEqI5H_yob.jpg', 'EEqI5H_ndh.jpg', 'EEqI5H_wco.jpg']","[4, 2, 3, 1]"
HcET9W,"A rider gallops a horse left in an arena with calorie burn information displayed, then another rider sits on a horse outdoors before the horse peers through its stall bars, with a closer focus in the final frame.","['HcET9W_fpk.jpg', 'HcET9W_krf.jpg', 'HcET9W_mge.jpg', 'HcET9W_psf.jpg']","[1, 2, 3, 4]"
IVi4xA,A small monkey is walking along a branch.,"['IVi4xA_ckc.jpg', 'IVi4xA_ruc.jpg', 'IVi4xA_xyq.jpg', 'IVi4xA_cfl.jpg']","[3, 4, 2, 1]"
Xws4nR, The woman finishes her dance and picks up her wrap.,"['Xws4nR_upl.jpg', 'Xws4nR_vwb.jpg', 'Xws4nR_fph.jpg', 'Xws4nR_lle.jpg']","[4, 1, 3, 2]"
RfLCAR,"A skater moves left away from the ramp towards stairs, and the camera pans to a diver who jumps off the board into the pool, creating a splash, as onlookers are shown on the sidelines.","['RfLCAR_rti.jpg', 'RfLCAR_tbf.jpg', 'RfLCAR_qql.jpg', 'RfLCAR_shs.jpg']","[3, 2, 4, 1]"
HXAtzr,"The child begins to decorate the Christmas tree, then moves closer to hang ornaments, carefully placing them on the branches before stepping back to admire her work.","['HXAtzr_ogi.jpg', 'HXAtzr_urj.jpg', 'HXAtzr_uuj.jpg', 'HXAtzr_yhi.jpg']","[4, 1, 2, 3]"
33O8dB, There's a player in a blue and white uniform shooting the ball for a point and scoring a goal.,"['33O8dB_rpy.jpg', '33O8dB_dff.jpg', '33O8dB_myj.jpg', '33O8dB_yrw.jpg']","[2, 3, 4, 1]"
ger9O9,"  The man continues to play the harmonica ending by pulling the harmonica away from the mouth and wriggling a large, puffy, mustache dramatically.","['ger9O9_hfa.jpg', 'ger9O9_llw.jpg', 'ger9O9_odl.jpg', 'ger9O9_xvs.jpg']","[1, 3, 2, 4]"
WDniHT, The girl holds a pose and begins performing a dancing routine with a baton.,"['WDniHT_cnz.jpg', 'WDniHT_zrz.jpg', 'WDniHT_eik.jpg', 'WDniHT_fbx.jpg']","[3, 4, 2, 1]"
Fccet6,A person in a protective white suit and goggles sprays a surface with purple paint using a spray gun in a room with white walls and floors.,"['Fccet6_hex.jpg', 'Fccet6_cir.jpg', 'Fccet6_upc.jpg', 'Fccet6_yaz.jpg']","[3, 2, 4, 1]"
HSOT3k, He breaks the bar as he tries to vault over it.,"['HSOT3k_aui.jpg', 'HSOT3k_ytm.jpg', 'HSOT3k_mhb.jpg', 'HSOT3k_mvi.jpg']","[3, 1, 4, 2]"
Jz1N9L,"The athlete stands upright as the camera zooms in, then moves from behind a podium to a squatting position, gripping the barbell on the floor.","['Jz1N9L_bkf.jpg', 'Jz1N9L_ggx.jpg', 'Jz1N9L_jwz.jpg', 'Jz1N9L_xna.jpg']","[4, 2, 3, 1]"
A2CNts,"The person and dog move leftward across the grassy field, with the dog slightly ahead, then the scene shifts as the woman with the blue frisbee and dog move rightward, receding into the background as she advances further ahead.","['A2CNts_hds.jpg', 'A2CNts_umf.jpg', 'A2CNts_yjk.jpg', 'A2CNts_zun.jpg']","[3, 4, 1, 2]"
qgoT9T,"The performer, facing away, raises his arms as the camera rotates clockwise, then a trowel exits the frame revealing two buckets on the floor.","['qgoT9T_oou.jpg', 'qgoT9T_bsx.jpg', 'qgoT9T_vec.jpg', 'qgoT9T_omj.jpg']","[1, 3, 4, 2]"
qm13yr, A boy is long boarding down a street.,"['qm13yr_evn.jpg', 'qm13yr_qoj.jpg', 'qm13yr_nmq.jpg', 'qm13yr_kxs.jpg']","[2, 4, 1, 3]"
ehvgnk,"The man slices the object vertically with a knife, then examines two objects, lowering one while the camera zooms in on the other as it becomes more centered.","['ehvgnk_abg.jpg', 'ehvgnk_hlt.jpg', 'ehvgnk_ksf.jpg', 'ehvgnk_xdl.jpg']","[1, 2, 4, 3]"
dRtkPW,  The person then begins to shave the length of their leg with a blue razor.,"['dRtkPW_kts.jpg', 'dRtkPW_rza.jpg', 'dRtkPW_kze.jpg', 'dRtkPW_bcr.jpg']","[2, 3, 4, 1]"
neobBy,A small group of people are seen pushing a ball along the water and scoring into the goal.,"['neobBy_bzs.jpg', 'neobBy_ish.jpg', 'neobBy_nvp.jpg', 'neobBy_mvh.jpg']","[3, 1, 2, 4]"
GiIoJt,"The riders move through the water, nearing the camera with a slight zoom, then transition from the stable area into the forest, receding into the distance as dust rises behind them.","['GiIoJt_nbx.jpg', 'GiIoJt_afi.jpg', 'GiIoJt_gmg.jpg', 'GiIoJt_rnd.jpg']","[4, 3, 1, 2]"
YoYdDB,"The child playing the congas exits the frame as ""GO-GO LiL C"" text appears, then a hand moves from cleaning the car hood to polishing the wheel as the camera tilts down.","['YoYdDB_awy.jpg', 'YoYdDB_cfk.jpg', 'YoYdDB_hfk.jpg', 'YoYdDB_tdh.jpg']","[2, 4, 1, 3]"
qh6SMS,"The display shifts from Bromsgrove Car Wash contact details to business video marketing text, then fades to reveal a person kneeling on a mat, holding a stick with one arm raised.","['qh6SMS_alj.jpg', 'qh6SMS_hst.jpg', 'qh6SMS_hxo.jpg', 'qh6SMS_bjv.jpg']","[2, 3, 4, 1]"
eICHTi," Henry, the guy dressed in the white shirt is showing how high he can jump with the stilts and perform stunts.","['eICHTi_wxg.jpg', 'eICHTi_hse.jpg', 'eICHTi_nrw.jpg', 'eICHTi_ewr.jpg']","[3, 1, 2, 4]"
XvW76H,"The mixture in the bowl transforms from dry to smooth as the whisk stirs, then pasta moves from a strainer to a plate with seafood, as the camera zooms in slightly.","['XvW76H_tii.jpg', 'XvW76H_nhi.jpg', 'XvW76H_gqy.jpg', 'XvW76H_vej.jpg']","[3, 2, 1, 4]"
eQb9Et,"The person sits back holding a box near the fire, then the camera angle shifts upward as a man slices an object with a knife, focusing intently on his task.","['eQb9Et_sbp.jpg', 'eQb9Et_xze.jpg', 'eQb9Et_spc.jpg', 'eQb9Et_ffv.jpg']","[4, 1, 2, 3]"
T6IUyi, The person finally pushes the tire along it's sides.,"['T6IUyi_xob.jpg', 'T6IUyi_sdf.jpg', 'T6IUyi_fvi.jpg', 'T6IUyi_sov.jpg']","[4, 3, 1, 2]"
dMxY8n, The lady drops the barbell and smiles.,"['dMxY8n_hyv.jpg', 'dMxY8n_kzv.jpg', 'dMxY8n_idh.jpg', 'dMxY8n_pui.jpg']","[1, 3, 4, 2]"
VmcVLL, Another snowboarder sharply slides down a steep hill to the base.,"['VmcVLL_lxt.jpg', 'VmcVLL_mlc.jpg', 'VmcVLL_ehm.jpg', 'VmcVLL_run.jpg']","[2, 4, 1, 3]"
2KXI7i,"The gymnast exits the beam area and embraces a person, while the tool leaves the wall as the camera tilts down to reveal two buckets on the floor.","['2KXI7i_mms.jpg', '2KXI7i_ngw.jpg', '2KXI7i_qef.jpg', '2KXI7i_qjr.jpg']","[2, 1, 3, 4]"
oFuc9v, All three children wipe the baking tray and pour the batter into it.,"['oFuc9v_pnh.jpg', 'oFuc9v_tfr.jpg', 'oFuc9v_zpe.jpg', 'oFuc9v_gai.jpg']","[3, 1, 2, 4]"
3yQt7T,"Red flags wave before a sailboat glides right across the water, then the scene shifts from the ocean view to the navigation screen, zooming in slightly.","['3yQt7T_odp.jpg', '3yQt7T_rxa.jpg', '3yQt7T_sai.jpg', '3yQt7T_wdi.jpg']","[2, 3, 1, 4]"
wXoGqE, He is using a brush to wipe snow off the back windshielf of his car.,"['wXoGqE_awm.jpg', 'wXoGqE_rda.jpg', 'wXoGqE_ufd.jpg', 'wXoGqE_zsj.jpg']","[2, 4, 1, 3]"
86ctM2,"A skater descends the hill and exits as another skater enters from the right; then, a person on stilts bounces away from the camera, moving further down the street.","['86ctM2_jrm.jpg', '86ctM2_kea.jpg', '86ctM2_kry.jpg', '86ctM2_otm.jpg']","[4, 2, 1, 3]"
eBU82S, He stops playing and puts the violin down to his side.,"['eBU82S_lxm.jpg', 'eBU82S_mlt.jpg', 'eBU82S_koq.jpg', 'eBU82S_dsh.jpg']","[4, 3, 1, 2]"
zMdJig, The man rides the bicycle down a road alongside parked cars.,"['zMdJig_ezo.jpg', 'zMdJig_dxj.jpg', 'zMdJig_ccs.jpg', 'zMdJig_caj.jpg']","[4, 2, 1, 3]"
rNDk5P,"The woman begins to wash items in a basin, then moves to lay them on a towel, before standing up to address the camera, concluding with a stylish graphic.","['rNDk5P_dnm.jpg', 'rNDk5P_ouc.jpg', 'rNDk5P_pdk.jpg', 'rNDk5P_ysc.jpg']","[1, 4, 2, 3]"
dOtQzx,A blindfolded man swings at a pinata with a bat while others look on from nearby seats.,"['dOtQzx_kga.jpg', 'dOtQzx_efs.jpg', 'dOtQzx_zgc.jpg', 'dOtQzx_jxu.jpg']","[4, 1, 3, 2]"
6uJgjD,"The foosball moves past yellow players towards the goal area as a hand positions it; meanwhile, a blue disc slides slightly forward in the scoring area as a red disc enters from the right.","['6uJgjD_lna.jpg', '6uJgjD_frx.jpg', '6uJgjD_zlg.jpg', '6uJgjD_krl.jpg']","[4, 2, 3, 1]"
KHifCx,  A person dressed in a red and black outfit stands in a red canoe and begins to put a piece of black equipment on.,"['KHifCx_dpp.jpg', 'KHifCx_ftv.jpg', 'KHifCx_vir.jpg', 'KHifCx_vki.jpg']","[1, 4, 3, 2]"
6Ua3vm,"The scene opens with players on the field, then transitions to contact information for Diana Goodwin, followed by a credit for Tom McCartney, and concludes with Diana's information again.","['6Ua3vm_ahp.jpg', '6Ua3vm_bsi.jpg', '6Ua3vm_cys.jpg', '6Ua3vm_kin.jpg']","[4, 1, 2, 3]"
wcFL3R, The business details are seen before end credits for the video are shown.,"['wcFL3R_dgt.jpg', 'wcFL3R_pbu.jpg', 'wcFL3R_bmm.jpg', 'wcFL3R_fjq.jpg']","[3, 1, 4, 2]"
TUFgcG," Then, the teen takes the glass shaking his hand and drinks the water while the laugh.","['TUFgcG_fti.jpg', 'TUFgcG_sjf.jpg', 'TUFgcG_mfd.jpg', 'TUFgcG_qsv.jpg']","[3, 4, 2, 1]"
GKKOYM, A gymnast mounts a beam in front of him.,"['GKKOYM_ddn.jpg', 'GKKOYM_txf.jpg', 'GKKOYM_hqj.jpg', 'GKKOYM_mkn.jpg']","[4, 3, 1, 2]"
2o9Pgy, Two men crash into each other and fall down.,"['2o9Pgy_dug.jpg', '2o9Pgy_ffq.jpg', '2o9Pgy_fsi.jpg', '2o9Pgy_jqa.jpg']","[4, 2, 1, 3]"
TzwsYZ, He then shaves the mans beard with a razor.,"['TzwsYZ_dgo.jpg', 'TzwsYZ_fnu.jpg', 'TzwsYZ_whm.jpg', 'TzwsYZ_xhr.jpg']","[1, 2, 3, 4]"
kl4JMX,"The cleaning tool moves right and lowers as a new worker enters, followed by a hand applying white paint, placing a strip over it, and smoothing it left.","['kl4JMX_ubd.jpg', 'kl4JMX_mfk.jpg', 'kl4JMX_cfx.jpg', 'kl4JMX_hrs.jpg']","[3, 1, 4, 2]"
i6xCgV,"The woman prepares to jump from the edge as the camera pans right, then a skier descends a snowy slope, shifting direction, before the scene transitions to a red screen with a prompt to comment, like, and subscribe.","['i6xCgV_vtj.jpg', 'i6xCgV_vbc.jpg', 'i6xCgV_ioq.jpg', 'i6xCgV_kzl.jpg']","[4, 3, 1, 2]"
lqLUQh,An athletic man is seen running down a track into a pit.,"['lqLUQh_gkt.jpg', 'lqLUQh_cfd.jpg', 'lqLUQh_rjt.jpg', 'lqLUQh_jra.jpg']","[1, 4, 2, 3]"
mywCrQ,an audience claps as a couple appears on stage.,"['mywCrQ_wjz.jpg', 'mywCrQ_gca.jpg', 'mywCrQ_lza.jpg', 'mywCrQ_brs.jpg']","[3, 1, 4, 2]"
s0j9fB, They take off on the track going really fast through it really fast.,"['s0j9fB_ykt.jpg', 's0j9fB_fed.jpg', 's0j9fB_kii.jpg', 's0j9fB_xta.jpg']","[3, 2, 4, 1]"
HnwooH," After, the man stop playing and walk.","['HnwooH_qpd.jpg', 'HnwooH_fgg.jpg', 'HnwooH_acz.jpg', 'HnwooH_fbp.jpg']","[2, 3, 1, 4]"
7sATHd,"The yellow bottle moves upward towards the woman's mouth as she leans closer, while the dogs shift slightly left in the bathtub; then, the dog shifts from standing to sitting as the camera pans to a rear view.","['7sATHd_tnb.jpg', '7sATHd_rik.jpg', '7sATHd_gts.jpg', '7sATHd_ahn.jpg']","[1, 2, 4, 3]"
bcbvkp,"The shoe sole moves down to the table as polish is applied, then the metal tool rotates counter-clockwise, moving slightly closer to the camera.","['bcbvkp_ffe.jpg', 'bcbvkp_hta.jpg', 'bcbvkp_nzh.jpg', 'bcbvkp_saj.jpg']","[2, 1, 4, 3]"
YLU87R,"A skateboarder glides toward the building's center, while a cyclist rides down a tree-lined street, transitioning to a display of a website link.","['YLU87R_idp.jpg', 'YLU87R_ihx.jpg', 'YLU87R_kxr.jpg', 'YLU87R_unr.jpg']","[1, 4, 2, 3]"
YU28AB, He then moves to the left and begins to plaster in the corner of the ceiling.,"['YU28AB_ofl.jpg', 'YU28AB_lws.jpg', 'YU28AB_wfd.jpg', 'YU28AB_ddj.jpg']","[2, 1, 3, 4]"
P1Q92h,People are skiing down a snowy slope very slowly and gracefully.,"['P1Q92h_bux.jpg', 'P1Q92h_rmk.jpg', 'P1Q92h_dlh.jpg', 'P1Q92h_hwc.jpg']","[4, 2, 1, 3]"
8Q5YdL," The woman begins to use the monkey bars and pulls herself across the entire expanse of the bar without using feet for propulsion from bar to bar, using just upper arm and core strength to pull across the bars.","['8Q5YdL_gzi.jpg', '8Q5YdL_zap.jpg', '8Q5YdL_srw.jpg', '8Q5YdL_rrc.jpg']","[1, 4, 3, 2]"
jBQlTc, The man places shaving cream all over his face with the use of his shaving brush.,"['jBQlTc_ihv.jpg', 'jBQlTc_ixr.jpg', 'jBQlTc_iyn.jpg', 'jBQlTc_ofw.jpg']","[4, 1, 3, 2]"
1DYPDU, The woman is showing her hair then continue brushing her hair.,"['1DYPDU_vnp.jpg', '1DYPDU_ayv.jpg', '1DYPDU_ypv.jpg', '1DYPDU_ktd.jpg']","[3, 2, 1, 4]"
WG8K2u,"A hand paints a butterfly, fading to black, then a person kneels with a kettlebell, lifting it as they stand.","['WG8K2u_cvn.jpg', 'WG8K2u_gyq.jpg', 'WG8K2u_fgc.jpg', 'WG8K2u_lkb.jpg']","[4, 1, 2, 3]"
pYcSSW, A young boy in blue shirt and jeans retrieves the ball and runs towards the group.,"['pYcSSW_lvm.jpg', 'pYcSSW_xas.jpg', 'pYcSSW_kew.jpg', 'pYcSSW_jwm.jpg']","[1, 2, 3, 4]"
OQ4Nmf, A person is then seen putting the girl's hair up in several dos while showing it to the camera.,"['OQ4Nmf_azk.jpg', 'OQ4Nmf_ehs.jpg', 'OQ4Nmf_xpt.jpg', 'OQ4Nmf_kep.jpg']","[2, 1, 4, 3]"
Ow6xEi," Many spectators approach the vehicle, while the driver climbs out of the vehicle and attempts to remove a tire from the back of the truck.","['Ow6xEi_xor.jpg', 'Ow6xEi_vqp.jpg', 'Ow6xEi_bmq.jpg', 'Ow6xEi_bfx.jpg']","[1, 4, 2, 3]"
antRoP, He throws the javelin into the field in front of him.,"['antRoP_jyi.jpg', 'antRoP_rog.jpg', 'antRoP_smx.jpg', 'antRoP_yjw.jpg']","[1, 3, 4, 2]"
FZjJOc,"The girl lowers her hand from her glasses as a gloved hand approaches her ear, then she raises a container and applies its contents to her nails, focusing intently.","['FZjJOc_gml.jpg', 'FZjJOc_kkg.jpg', 'FZjJOc_ocd.jpg', 'FZjJOc_pxm.jpg']","[4, 3, 1, 2]"
pD55E5,"The person holds a pink object near the camera before using it on their hair, then begins braiding their hair, weaving strands together as the braid extends to the right with a slight camera zoom out.","['pD55E5_els.jpg', 'pD55E5_ljc.jpg', 'pD55E5_ijg.jpg', 'pD55E5_bqk.jpg']","[3, 2, 4, 1]"
czTXcm, A person kicks a ball into the goal.,"['czTXcm_oau.jpg', 'czTXcm_ohc.jpg', 'czTXcm_tgb.jpg', 'czTXcm_dwm.jpg']","[1, 3, 4, 2]"
14xRad,"A player dives for the ball on the sand, then a player in white approaches the goal as the goalkeeper shifts slightly to the right.","['14xRad_nas.jpg', '14xRad_nbp.jpg', '14xRad_opn.jpg', '14xRad_ybs.jpg']","[2, 3, 1, 4]"
g7gm6c," He applies the sheet and photos to the wall, creating a real life photography mural.","['g7gm6c_eyo.jpg', 'g7gm6c_dyn.jpg', 'g7gm6c_qbp.jpg', 'g7gm6c_uzy.jpg']","[4, 3, 2, 1]"
HtVdbU,"The accordion is lifted slightly upward while the man maintains his position, then the violin moves from a horizontal to a vertical position as it is raised higher.","['HtVdbU_xxx.jpg', 'HtVdbU_alr.jpg', 'HtVdbU_etx.jpg', 'HtVdbU_rxv.jpg']","[3, 1, 4, 2]"
hED6U8, People roller skates passing around cones and a ramps to flip.,"['hED6U8_hmt.jpg', 'hED6U8_syk.jpg', 'hED6U8_zkz.jpg', 'hED6U8_egy.jpg']","[1, 3, 4, 2]"
56RhTV,"The musician leans back and shifts right as the camera zooms in, then the scene transitions to a plate being wiped on a table with a close-up focus.","['56RhTV_swk.jpg', '56RhTV_unh.jpg', '56RhTV_trk.jpg', '56RhTV_pac.jpg']","[2, 1, 4, 3]"
stR66i,"A man swings a stick downward, transitioning to a person applying finish on a fence, followed by a close-up of painting supplies arranged on a wooden surface.","['stR66i_fkh.jpg', 'stR66i_ovv.jpg', 'stR66i_soy.jpg', 'stR66i_tyo.jpg']","[2, 4, 1, 3]"
CpFYgb, She is then seen again with wet hair and then sprays liquid into her hair and then blow dries her hair more.,"['CpFYgb_iib.jpg', 'CpFYgb_urj.jpg', 'CpFYgb_ymp.jpg', 'CpFYgb_zmi.jpg']","[1, 3, 2, 4]"
y7DFz2,"A woman smiles while riding a horse along the beach, another rider joins her from the left, then the scene shifts to a person standing in the water who moves further into the waves before pausing.","['y7DFz2_pyl.jpg', 'y7DFz2_rgt.jpg', 'y7DFz2_sjx.jpg', 'y7DFz2_kzz.jpg']","[1, 2, 4, 3]"
kqTONH, First they cut the top off of a green pumpkin and scoop the seeds and other stuff out.,"['kqTONH_ekp.jpg', 'kqTONH_pna.jpg', 'kqTONH_xov.jpg', 'kqTONH_nvl.jpg']","[3, 4, 1, 2]"
a8hKkh,We see a little girl painting a fence red.,"['a8hKkh_ich.jpg', 'a8hKkh_bfd.jpg', 'a8hKkh_gop.jpg', 'a8hKkh_vcs.jpg']","[3, 4, 1, 2]"
FhSvUK,"A black component is lowered onto a roof, covering a white pipe as a hand adjusts it, then a measuring tool and hand move away, and the camera tilts up to reveal more of the slate roof.","['FhSvUK_hcy.jpg', 'FhSvUK_srf.jpg', 'FhSvUK_ycd.jpg', 'FhSvUK_ycu.jpg']","[1, 2, 3, 4]"
GMgrko,"The cheerleaders perform a stunt before cheering energetically as the camera zooms in, then the dancers transition from a straight line into a playful, staggered formation with a slight camera zoom.","['GMgrko_owi.jpg', 'GMgrko_mbz.jpg', 'GMgrko_nxs.jpg', 'GMgrko_xsr.jpg']","[3, 2, 1, 4]"
Smnw3M,"The skier glides down the slope, rotating slightly left as trees become prominent, then a snowboarder exits, revealing the ""Shred Bots"" logo filling the frame.","['Smnw3M_aap.jpg', 'Smnw3M_evl.jpg', 'Smnw3M_hkn.jpg', 'Smnw3M_nkk.jpg']","[1, 2, 4, 3]"
Aaoapt,"The tape measure appears, then a man introduces a vacuum cleaner, followed by him kneeling to connect the vacuum, and finally, he holds the vacuum while smiling.","['Aaoapt_gzs.jpg', 'Aaoapt_sue.jpg', 'Aaoapt_tun.jpg', 'Aaoapt_ytq.jpg']","[4, 1, 3, 2]"
I5nwN2,"A surfer becomes blurry as the camera zooms in, then moves right while lowering closer to the wave with the board tilting upwards.","['I5nwN2_vfz.jpg', 'I5nwN2_yfs.jpg', 'I5nwN2_xwt.jpg', 'I5nwN2_hih.jpg']","[1, 3, 4, 2]"
iiaV1l, The third tuber goes through the rapids.,"['iiaV1l_qio.jpg', 'iiaV1l_wfg.jpg', 'iiaV1l_mxt.jpg', 'iiaV1l_ocq.jpg']","[1, 2, 4, 3]"
KAPWHC,"The person cuts green onions, then speaks in a kitchen as the camera pans right; next, a hand lowers out of view as the person tilts their head down to focus on a pen.","['KAPWHC_bna.jpg', 'KAPWHC_bul.jpg', 'KAPWHC_owt.jpg', 'KAPWHC_wew.jpg']","[3, 1, 4, 2]"
mV28oH,"The girls display grapefruit segments as a juicer moves to the center, then a child at the sink leans forward to scrub dishes, with the camera tilting slightly downward.","['mV28oH_cow.jpg', 'mV28oH_gnl.jpg', 'mV28oH_nnf.jpg', 'mV28oH_efy.jpg']","[4, 2, 3, 1]"
htSPjB,"The athlete throws the discus and raises his arms in celebration as the camera zooms in, then shifts focus to the athlete on the track, panning right to reveal the commentator seated nearby.","['htSPjB_aej.jpg', 'htSPjB_vrq.jpg', 'htSPjB_yae.jpg', 'htSPjB_zxh.jpg']","[1, 4, 2, 3]"
ikamPB,  The ball jumped off the table and a woman put it back into play and a goal was made.,"['ikamPB_lba.jpg', 'ikamPB_qgc.jpg', 'ikamPB_nie.jpg', 'ikamPB_sat.jpg']","[2, 4, 3, 1]"
MRziwb,"People stands on top of a diving board, the a man jumps in the swimming pool.","['MRziwb_ehf.jpg', 'MRziwb_kfd.jpg', 'MRziwb_mpk.jpg', 'MRziwb_wjt.jpg']","[4, 2, 3, 1]"
mGlHxe,"The baby leans forward to take a bite from a hand as the camera zooms in slightly, then the girl lowers her hand from her glasses while a gloved hand approaches her left ear for a procedure.","['mGlHxe_dyo.jpg', 'mGlHxe_ftv.jpg', 'mGlHxe_jop.jpg', 'mGlHxe_uwp.jpg']","[1, 2, 4, 3]"
Fi46i1,"A person on a tube slides up a snowy slope as the camera zooms in, then a snowboarder descends and shifts to a centered stance, with a slight camera zoom.","['Fi46i1_cqx.jpg', 'Fi46i1_zck.jpg', 'Fi46i1_bzb.jpg', 'Fi46i1_krh.jpg']","[3, 1, 4, 2]"
1M1dtb, The woman twists the ends of the cellophane and tapes the package shut.,"['1M1dtb_ywb.jpg', '1M1dtb_imh.jpg', '1M1dtb_bnf.jpg', '1M1dtb_opl.jpg']","[2, 4, 3, 1]"
